,descrip,price,envio,ciudad,otro1,otro2,benef,disponibles,stock,official,ventas,infoVentas,atencion,entrega,ventas,nopiniones,calificacion,vendedor,ubicacion,reviews,marca,modelo,descripcionExt
22,"Botas Mujer,botines Mujer,moda,nueva Colección",74.900,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
35
36
37
38
39
40
Guía de tallas
Al 91% le calzó como esperaba","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(7 disponibles),Hay stock disponible,,"1402
ventas en los últimos 4 meses.","1402
ventas en los últimos 4 meses.",,"1402
ventas en los últimos 4 meses.","1402
ventas en los últimos 4 meses.",6 opiniones,5,¿Qué quieres saber?,"Cúcuta, Norte De Santander",91%,"Marca
Winner
Modelo
W~ 202",Género Hombre,"Bota casual
Tipo de Producto: Bota Mujer
Tipo de Punta: Redonda
Empeine: Moldeado
Tipo Ajuste: Cordón
Ocasión: Outdoor
Medida Caña: 7cm
Medida Collarín: 7cm
Material Externo: Textil/Sintético de alta calidad
Material Interno: Textil
Material Suela: Sintético
Origen: Producto Nacional 35 al 40
Tallaje: Numeración Colombiana"
23,Botas Para Hombre Jo Chelsea Miel En Cuero - Outletshop,145.000,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
Seleccione una opción
Guía de tallas
Al 90% le calzó como esperaba","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(35 disponibles),Hay stock disponible,,"370
ventas en los últimos 4 meses.","370
ventas en los últimos 4 meses.",,"370
ventas en los últimos 4 meses.","370
ventas en los últimos 4 meses.",7 opiniones,5,¿Qué quieres saber?,"Puente Aranda, Bogotá D.C.",90%,"Marca
Outlet Shop
Modelo
Jo Chelsea miel",Género Hombre,"Botines 100% cuero liso color miel y suela de goma, hechos en Colombia. Nuestros productos nacen de la meta relacionada con la fabricación productos de uso cotidiano con calidad alta y a un precio asequible para toda la comunidad. Buscamos impactar a nuestros clientes, guiados por la calidad y comodidad de nuestros productos para generar una relación constante, de largo plazo y en los mejores términos. Trabajamos en equipo y estamos seguros que por cada impacto en nuestros clientes, crearemos una relación sincera y difícil de romper.

Tabla de medidas*:

23 cm -> 37
24 cm -> 38
25 cm -> 39
26 cm -> 40
27 cm -> 41
28 cm -> 42
29 cm -> 43

*Medidas tomadas desde el talón hasta el dedo gordo, sin zapatos."
24,Bota Táctica Desierto Sahara Color Negro,154.900,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
Seleccione una opción","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(38 disponibles),Hay stock disponible,,"351
ventas en los últimos 4 meses.","351
ventas en los últimos 4 meses.",,"351
ventas en los últimos 4 meses.","351
ventas en los últimos 4 meses.",4 opiniones,5,¿Qué quieres saber?,"Rafael Uribe Uribe, Bogotá D.C.",,"Marca
Desierto
Modelo
Sahara","Género Hombre
Tipo de calzado Botas
Estilo Militar
Tipo de caña Alta
Año de lanzamiento 2016","Bota táctica desierto sahara elaborada en cuero liso, lona impermeable de alta durabilidad, suela liviana en caucho resistente y antideslizante, vulcanizadas, caña de 20 cm, acolchado interno térmico suave, cremallera lateral y plantilla semi ortopédica."
25,Botas Glenn Para Hombre En Cuero Café - Outletshop -,145.000,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
Seleccione una opción
Guía de tallas
Al 74% le calzó como esperaba","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(30 disponibles),Hay stock disponible,,"370
ventas en los últimos 4 meses.","370
ventas en los últimos 4 meses.",,"370
ventas en los últimos 4 meses.","370
ventas en los últimos 4 meses.",23 opiniones,4,¿Qué quieres saber?,"Puente Aranda, Bogotá D.C.",74%,"Marca
Outlet Shop
Modelo
Glenn",Género Hombre,"Botines 100% cuero graso color café y suela de goma, fabricados en Colombia. Nuestros productos están fabricados para uso cotidiano con alta calidad y a un precio asequible para toda la comunidad. Buscamos impactar a nuestros clientes, guiados por la calidad y comodidad de nuestros productos para generar una relación constante, de largo plazo y en los mejores términos. Trabajamos en equipo y estamos seguros que por cada impacto en nuestros clientes, crearemos una relación sincera y difícil de romper.

Tabla de medidas*:

23 cm -> 37
24 cm -> 38
25 cm -> 39
26 cm -> 40
27 cm -> 41
28 cm -> 42
29 cm -> 43

*Medidas tomadas desde el talón hasta el dedo gordo, sin zapatos."
26,"Bota De Seguridad, Dotación Mujer Seguridad Punta Livianas",86.900,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
Seleccione una opción
Al 95% le calzó como esperaba","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(499 disponibles),Hay stock disponible,,"369
ventas en los últimos 4 meses.","369
ventas en los últimos 4 meses.",,"369
ventas en los últimos 4 meses.","369
ventas en los últimos 4 meses.",10 opiniones,4,¿Qué quieres saber?,"Santa Fe, Bogotá D.C.",95%,"Marca
GA.MA
Modelo
Dama",Género Mujer,"-------Bienvenido a gama dotaciones--------------
Disponible para despachar el mismo dia de compra
Garantía de Seriedad y Compromiso
Tu compra 100% segura con Mercadopago y despacho por Mercadoenvios
Respondemos sus preguntas en el menor tiempo
===============================================================
BOTA PARA DAMA PUNTA DE ACERO EN FIBRA DE VIDRIO NORMA NTC 2257
FORRO DE RAPIDO SECADO
CUELLO ERGONOMICO
ULTRALIVIANA
SUELA EN POLIURETANO
ANTIDESLIZANTE
DIELECTRICA
CUERO NOBU
LADY
CERTIFICADA
Resistente a hidrocarburos
TALLA 34-40"
27,"Botines Para Dama Taches, Puntera En Cuero",93.600,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
Seleccione una opción
Guía de tallas
Al 100% le calzó como esperaba","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(13 disponibles),Hay stock disponible,,"137
ventas en los últimos 4 meses.","137
ventas en los últimos 4 meses.",,"137
ventas en los últimos 4 meses.","137
ventas en los últimos 4 meses.",3 opiniones,5,¿Qué quieres saber?,"Ciudad Bolivar, Bogotá D.C.",100%,"Marca
Jhonalje
Modelo
527","Género Mujer
Tipo de calzado Botas
Tipo de caña Baja
Temporada de lanzamiento Primavera-verano","- Botines con puntera en cuero con apliques de taches.
- Altura 5 1/2 también disponibilidad en 7 1/2
- Tallas desde la 34 hasta la 40
- Garantía de 60 días por fabrica
- Suela en caucho de alta resistencia
- realiza las preguntas que quieras, con gusto las respondemos! Somos Fabricantes!!

IMPORTANTE:
1. -ANTES DE REALIZAR LA COMPRA ACLARAR TODAS LAS DUDAS EN CUANTO A TALLAS,COLORES,MATERIALES, ETC,
2. - PARA CONOCER A CERCA DE LAS TALLAS TENEMOS UNA GUÍA DE TALLAS EN LA CUAL SE PUEDEN REFERENCIAR PARA REALIZAR SU PEDIDO.
3. - SI SE NECESITA REALIZAR UN CAMBIO POR NÚMERO SE DEBE INFORMAR EL MISMO DÍA EN EL CUAL SE RECIBE EL PRODUCTO, SE DEBE TENER EN CUENTA QUE EL COMPRADOR ASUMIRÁ LOS COSTOS LOGÍSTICOS QUE SE GENEREN POR EL CAMBIO.

- ESTAREMOS ATENTOS A CUALQUIER DUDA O SOLICITUD, GRACIAS POR SU
COMPRESIÓN."
28,Botines Francheska Tipo Rockeros Con Taches Para Mujer,99.900,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
35
38
Guía de tallas
Al 86% le calzó como esperaba","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(2 disponibles),Hay stock disponible,,"308
ventas en los últimos 4 meses.","308
ventas en los últimos 4 meses.",,"308
ventas en los últimos 4 meses.","308
ventas en los últimos 4 meses.",25 opiniones,5,¿Qué quieres saber?,"Itaguí, Antioquia",86%,"Marca
Baya Baya Store
Modelo
Francheska",Género Mujer,Botines de tacón. Material exterior; sintético. Material interior; sintético y textil. Detalle de tachuelas. Punta redondeada. Altura tacón; 4cm. Altura de la caña; 12cm. Cierre mediante cordones y cremallera. Suela de goma.
29,Botas Dr Martens.,120.000,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
Seleccione una opción
Al 100% le calzó como esperaba","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(24 disponibles),Hay stock disponible,,"150
ventas en los últimos 5 años.","150
ventas en los últimos 5 años.",,"150
ventas en los últimos 5 años.","150
ventas en los últimos 5 años.",9 opiniones,4,¿Qué quieres saber?,"Kennedy, Bogotá D.C.",100%,"Marca
Legends",Género Hombre,"Botas estilo dr martens, marca Legend's, producto nacional, 100% cuero.

POR FAVOR CONSULTE LA TALLA Y COLOR QUE DESEA ANTES DE DAR CLIC EN COMPRAR *

BOTAS MUY CÓMODAS Y RESISTENTES.

SOMOS FABRICANTES, BOTAS NACIONALES 100% CALIDAD Y ORIGINALIDAD


POR FAVOR CONSULTA PRIMERO EN LA SECCIÓN DE PREGUNTAS LA TALLA Y EL COLOR QUE DESEAS PARA CONFIRMARTE DISPONIBILIDAD

FORMAS DE PAGO Y ENVÍO:

EL ENVÍO ES GRATIS POR MERCADO ENVÍOS SERVIENTREGA, Y PUEDES PAGAR A TRAVÉS DE MERCADO PAGO YA SEA CON LA OPCIÓN DE EFECTY (EN EFECTIVO), TARJETA DE CRÉDITO (A CUOTAS), TARJETA DE DÉBITO (PSE).

TE OFRECEMOS PRODUCTOS DE CALIDAD.

POR FAVOR PREGUNTA LA TALLA QUE DESEAS ANTES DE HACER CLIC EN COMPRAR, Y LO QUE DESEES PARA ACLARAR TUS DUDAS"
30,Botas En Cuero Para Hombre - Glenn Sport Café - Outletshop-,145.000,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
Seleccione una opción
Guía de tallas
Al 87% le calzó como esperaba","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(14 disponibles),Hay stock disponible,,"370
ventas en los últimos 4 meses.","370
ventas en los últimos 4 meses.",,"370
ventas en los últimos 4 meses.","370
ventas en los últimos 4 meses.",13 opiniones,4,¿Qué quieres saber?,"Puente Aranda, Bogotá D.C.",87%,"Marca
Outlet Shop
Modelo
Sport café",Género Hombre,"Botines 100% cuero, combinación entre liso y nobuk color café y suela de goma, hechos en Colombia. Nuestros productos nacen de la meta relacionada con la fabricación productos de uso cotidiano con calidad alta y a un precio asequible para toda la comunidad. Buscamos impactar a nuestros clientes, guiados por la calidad y comodidad de nuestros productos para generar una relación constante, de largo plazo y en los mejores términos. Trabajamos en equipo y estamos seguros que por cada impacto en nuestros clientes, crearemos una relación sincera y difícil de romper.

Tabla de medidas*:

23 cm -> 37
24 cm -> 38
25 cm -> 39
26 cm -> 40
27 cm -> 41
28 cm -> 42
29 cm -> 43

*Medidas tomadas desde el talón hasta el dedo gordo, sin zapatos."
31,"Botas Caucho Para Motociclistas,100% Impermeables Garantia",34.990,Envío a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
37
38
39
40
41
42
Guía de tallas
Al 88% le calzó como esperaba","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(4856 disponibles),Hay stock disponible,,"1747
ventas en los últimos 4 años.","1747
ventas en los últimos 4 años.",,"1747
ventas en los últimos 4 años.","1747
ventas en los últimos 4 años.",78 opiniones,5,¿Qué quieres saber?,"Antonio Nariño, Bogotá D.C.",88%,"Género
Hombre",,"Cansado de llegar con los pies empapados con tanta lluvia? No esperes más!! Botas para Motociclistas, 100% Impermeables. Excelente DURABILIDADy CONFORTABILIDAD, PLANTILLA CONFORTABLE hechas de elastomero inyectado, pvc la suela y por dentro recubrimiento interno de poliester. 100% colombiano. Garantía de 3 meses. (38-42)

Esta es la medida de las botas por número
38/25.3cm -
39/26cm -
40/26.6 -
41/27.3 -
42/28.1.
Debe ser basado en la longitud de tu pie.

~COLORES DE LA SUELA, ROJO, AZUL NARANJA y VERDE.. TALLA Y COLOR LO CONFIRMAMOS POR INTERNO~


Las botas se pueden recoger en el barrio restrepo de 8-5:30 de L-V y los sabados de 8-1


VENTAS AL POR MAYOR!
RECUERDE QUE SU OFERTA ES UN COMPROMISO!
HAGA TODAS LAS PREGUNTAS QUE CONSIDERE NECESARIAS ANTES DE DARLE CLICK AL BOTON COMPRAR."
32,Bota Seguridad Liviana Pu Dielectrica Injectada Dotacion,55.000,Envío a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
Seleccione una opción
Al 100% le calzó como esperaba","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(97 disponibles),Hay stock disponible,,"1045
ventas en los últimos 4 meses.","1045
ventas en los últimos 4 meses.",,"1045
ventas en los últimos 4 meses.","1045
ventas en los últimos 4 meses.",9 opiniones,5,¿Qué quieres saber?,"Suba, Bogotá D.C.",100%,"Marca
Workeando
Modelo
Wk01",Género Hombre,"DESCRIPCIÓN

- Botas de seguridad bajo la Norma NTC ISO20345
- Calzado eléctricamente aislante (dieléctrico)

- CAPELLADA: Corte elaborado en cuero Mocasín, cuero semi graso, calibre 1,8 -2,0 mm.
- SUELA: Poliuretano (PU), Liviana, confortable, caracterizada por ser Resistente a Hidrocarburos (R.H.) y Dieléctrica (D.E.)
- PUNTERA DE SEGURIDAD: Plástica, Dieléctrica y extra liviana, resistente al impacto noma EN 12568
- FORROS: Capellada: tela no tejida en fibra de poliéster 2 mm. Protege el pie del contacto con la puntera, Lateral: tela poliéster con espuma de 5 mm. Proporciona confort.
- OJALETES: Plástico con arandela, diámetro interno 3/16""
- CORDONES: Poliéster, trenzado redondo con puntera de acetano. Longitud 1,00 mm.
- COSTURAS: Hilo continuo de nylon de alta tenacidad, No. 20, excelente recuperación elástica, resistente a la humedad y a la abrasión. Resistencia 8900 cN. 1cN (CENTINIWTON)= 1,02 Gramos fuerza.
- PLANTILLA: Lamina EVA de 2 mm bondeada con tela poliéster.
- ALTURA: 4,5 +/- 1/4 pulgadas.
- PESO PROMEDIO: 960 gramos por par

Puede llegar en cualquiera de los dos colores de suela, negro o negro gris

Descuentos para distribuidores y mayoristas

RECUERDA: Te ofrecemos mercado envíos y si son compras mayores a $70000 son sin costo, la opción También se puede retirar en persona aplica únicamente para BOGOTÁ.

Las prendas modificadas, (Corte, costuras, bordados o estampados) PIERDEN LA GARANTÍA


Las fotos son referencia. En caso de necesitar factura se expide cuenta de cobro en mercado libre somos régimen simplificado."
33,"Botas Para Hombre, Botines Hombre , Moda",79.900,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
Seleccione una opción
Guía de tallas
Al 82% le calzó como esperaba","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(11 disponibles),Hay stock disponible,,"1402
ventas en los últimos 4 meses.","1402
ventas en los últimos 4 meses.",,"1402
ventas en los últimos 4 meses.","1402
ventas en los últimos 4 meses.",6 opiniones,5,¿Qué quieres saber?,"Cúcuta, Norte De Santander",82%,"Marca
Clar
Modelo
Botin-01",Género Hombre,"Bota Casual
Tipo de Producto: Bota Casual
Altura Caña: Media
Tipo de Punta: Redonda
Empeine: Moldeado
Tipo Ajuste: Cordón
Ocasión: Casual
Medida Caña: 12.5cm
Medida Collarín: 11cm
Material Externo: Sintetico,tipo cuero de alta calidad garantizado
Material Interno: Textil
Material Suela: TR
Origen: Producto Nacional
Tallaje: Numeración Colombiana 37 al 43
Envios gratis a nivel Nacional
Cambios Gratis"
34,"Combo,zapatos Casual Hombre,+,bolso Hombre,+,cartera Hombre,",123.900,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
Seleccione una opción
Guía de tallas","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(18 disponibles),Hay stock disponible,,"1402
ventas en los últimos 4 meses.","1402
ventas en los últimos 4 meses.",,"1402
ventas en los últimos 4 meses.","1402
ventas en los últimos 4 meses.",1 opinión,4,¿Qué quieres saber?,"Cúcuta, Norte De Santander",,"Marca
Clar
Modelo
casual clark",Género Hombre,"DETALLES DEL PRODUCTO

Combo de Zapatos casual ,+ Bolso tipo carriel,+ cartera para hombre
Tipo de Producto: zapato Casual hombre

Tipo de Punta: semi puntuda
Empeine: Moldeado
Tipo Ajuste: Cordón
Ocasión: Casual

Material Externo: Sintético Tipo Cuero de alta calidad , garantizado
Material Interno: Textil
Material Suela: Sintético TR
Origen: Producto Nacional
Tallaje: Numeración Colombiana 37 al 43

INFORMACIÓN
Sexo Masculino
Material exterior Sintético tipo Cuero de alta calidad ,garantizado
Material interior Textil

----------------------------------------------------------
Bolso para Hombre
Elaborado en materiales sintéticos de muy excelente calidad,con bolsillo exterior delantero,bolsillo en la parte dorsal , bolsillo en la parte interna

Cartera para hombre
Elaborado con materiales sintetico de alta calidad, cartera con compartimentos laterales y cierre en la parte delantera

Envíos gratis a nivel nacional
Fotos 100% reales"
35,"Zapatos Hombre, Caterpillar, Botas Hombre Cat",72.900,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
Seleccione una opción
Guía de tallas
Al 86% le calzó como esperaba","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(17 disponibles),Hay stock disponible,,"477
ventas en los últimos 4 meses.","477
ventas en los últimos 4 meses.",,"477
ventas en los últimos 4 meses.","477
ventas en los últimos 4 meses.",4 opiniones,4,¿Qué quieres saber?,"Villa Del Rosario, Norte De Santander",86%,"Marca
Caterpillar
Modelo
01",Género Hombre,"Zapatos Hombre Bota Caterpillar

!BIENVENIDOS en nuestro campo de preguntas puedes PREGUNTAR todo lo que desees para solucionar cualquier duda o confirmar DISPONIBILIDAD

ATENCIÓN : a la hora de elegir la talla ten en cuenta que las tallas publicadas son NACIONALES no son en US*

TEN EN CUENTA: cuando se efectúe la compra se pondrá a tu disposición nuestro número de TELÉFONO, WHATSAPP, para que tengas una atención mas ¡PERSONALIZADA!


MEDIOS DE PAGO:

*MERCADO PAGO *
TODAS LAS TARJETAS DE CRÉDITO
TODAS LAS TARJETAS DÉBITO
EFECTY
VIA BALOTO


ENVÍOS: HACEMOS ENVÍOS GRATIS A TODO EL PAÍS CON SERVICIO A DOMICILIO.

TIEMPO DE ENTREGA:
CIUDADES PRINCIPALES DE UNO A DOS DÍAS MÁXIMO
A NIVEL NACIONAL DE DOS HASTA 4 DÍAS DEPENDE UBICACIÓN

GARANTÍA...
*TODAS TUS COMPRAS ESTÁN 100% PROTEGIDAS POR MERCADO PAGO,
*NUESTROS PRODUCTOS SON DE LA MEJOR CALIDAD.
*3 MESES DE GARANTÍA POR PEGADO Y COSTURA .
*CUALQUIER INQUIETUD CON GUSTO LE ATENDEREMOS


ATENCIÓN: encuentra mas diseños en mas publicaciones del vendedor

!RECUERDE! para el proceso de garantía o cambio, es indispensable que primero se comunique a el número de celular que aparece en los datos del vendedor GRACIAS POR PREFERIRNOS..."
36,Espectaculares Botas Deportivas En Cuero Para Hombre Cómodas,105.000,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
Seleccione una opción
Guía de tallas
Al 89% le calzó como esperaba","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(15 disponibles),Hay stock disponible,,"239
ventas en los últimos 4 meses.","239
ventas en los últimos 4 meses.",,"239
ventas en los últimos 4 meses.","239
ventas en los últimos 4 meses.",39 opiniones,4,¿Qué quieres saber?,"Rafael Uribe Uribe, Bogotá D.C.",89%,"Género
Hombre",,"* Importante: por favor consulta cualquier duda que tengas en la parte de abajo en ""preguntas al vendedor"" *

Espectaculares botas deportivas en cuero para hombre, con suela tipo caterpillar en caucho, muy cómodas y resistentes, en colores negro, marrón, gris.

Somos fabricantes, botas nacionales 100% calidad y originalidad.

Tallas 37-38-39-40-41-42-43, pero por favor consulta primero en la sección de preguntas cualquier duda que tengas.

Ventas al detal y al mayor.

Formas de pago y envío :

El envío es gratis por mercado envíos, y puedes pagar a través de mercado pago ya sea con la opción de efecty (en efectivo), tarjeta de crédito (a cuotas), tarjeta de débito (pse).

Te ofrecemos productos de calidad."
37,Bota Dotacion Cuero Seguridad Puntera De Acero,39.000,Envío a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
Seleccione una opción","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(351 disponibles),Hay stock disponible,,"1045
ventas en los últimos 4 meses.","1045
ventas en los últimos 4 meses.",,"1045
ventas en los últimos 4 meses.","1045
ventas en los últimos 4 meses.",2 opiniones,4,¿Qué quieres saber?,"Suba, Bogotá D.C.",,"Género
Hombre",,"CARACTERÍSTICAS DEL CALZADO
COLOR: Negra
TALLAS: 36 al 43

VIDA UTIL: Seis (6) meses de Almacenamiento y/o Uso, en el ambiente de trabajo para el cual fue diseñado el calzado.


Descuentos para distribuidores y mayoristas

RECUERDA: Te ofrecemos mercado envíos y si son compras mayores a $70000 son sin costo, la opción También se puede retirar en persona aplica únicamente para BOGOTÁ.

Las prendas modificadas, (Corte, costuras, bordados o estampados) PIERDEN LA GARANTÍA

Las fotos son referencia. En caso de necesitar factura se expide cuenta de cobro en mercado libre somos régimen simplificado."
38,Zapato Hombre Deportivo Bota Caballero 2043016,72.000,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
Seleccione una opción","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(21 disponibles),Hay stock disponible,,"164
ventas en los últimos 4 meses.","164
ventas en los últimos 4 meses.",,"164
ventas en los últimos 4 meses.","164
ventas en los últimos 4 meses.",2 opiniones,5,¿Qué quieres saber?,"Villa Del Rosario, Norte De Santander",,"Género
Hombre",,"FAVOR CONFIRMAR DISPONIBILIDAD ANTES DE COMPRAR

AL OFERTAR UD RECIBIRÁ NUESTROS DATOS E INTERNAMENTE COORDINAMOS EL MODELO QUE DESEA

1. Verifique que la dirección de domicilio y teléfono configurada en su cuenta de mercado libre, sea la correcta, ya que los envíos serán enviados a la dirección suministrada POR USTED a mercado libre, NO SEREMOS RESPONSABLES DE LA DEMORA DE ENTREGA DEL PRODUCTO CUANDO LA DIRECCIÓN SEÑALADA EN MERCADO LIBRE ESTE EQUIVOCADA.

2. El calzado viene en horma normal, tallas completas, exactas. Se realizan CAMBIOS únicamente por talla en el mismo modelo y color, El cliente corre con los gastos de envío para el cambio.

4. El envío se realiza el día siguiente de la compra y tarda en llegar de 3 a 4 días hábiles, dependiendo de la distancia, al hacer el envío le llegará la notificación de su compra con el número de guía, así podrá rastrearlo.

5. Nuestros productos son de fabricación nacional en materiales de excelente calidad 100% colombiana.

6. PLAZO DE GARANTÍA: solo se realizara el cambio del producto por DEFECTO DE FABRICA en un lapso NO MAYOR a 72 HORAS después de recibido el producto, sino lo realiza entendemos que esta satisfecho con el producto."
39,Botines Para Dama En Cuero,83.000,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
Seleccione una opción
Guía de tallas","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(12 disponibles),Hay stock disponible,,"137
ventas en los últimos 4 meses.","137
ventas en los últimos 4 meses.",,"137
ventas en los últimos 4 meses.","137
ventas en los últimos 4 meses.",,,¿Qué quieres saber?,"Ciudad Bolivar, Bogotá D.C.",,"Marca
Jhonalje
Modelo
509","Género Mujer
Tipo de calzado Botas
Tipo de caña Baja
Temporada de lanzamiento Primavera-verano","- Puntera en Cuero
- Plantilla inyectada gran durabilidad y comodidad
- Altura cinco y medio con suela en Tr
- Garantía por fábrica 60 Días
- Tallas desde la 34 hasta la 39
- Colores disponibles: Negro y Miel

IMPORTANTE:
1. -ANTES DE REALIZAR LA COMPRA ACLARAR TODAS LAS DUDAS EN CUANTO A TALLAS,COLORES,MATERIALES, ETC,
2. - PARA CONOCER A CERCA DE LAS TALLAS TENEMOS UNA GUÍA DE TALLAS EN LA CUAL SE PUEDEN REFERENCIAR PARA REALIZAR SU PEDIDO.
3. - SI SE NECESITA REALIZAR UN CAMBIO POR NÚMERO SE DEBE INFORMAR EL MISMO DÍA EN EL CUAL SE RECIBE EL PRODUCTO, SE DEBE TENER EN CUENTA QUE EL COMPRADOR ASUMIRÁ LOS COSTOS LOGÍSTICOS QUE SE GENEREN POR EL CAMBIO.

- ESTAREMOS ATENTOS A CUALQUIER DUDA O SOLICITUD, GRACIAS POR SU
COMPRESIÓN."
40,Bds06 Bota Desierto Sinai Beis,74.900,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
Seleccione una opción
Al 92% le calzó como esperaba","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(18 disponibles),Hay stock disponible,,"351
ventas en los últimos 4 meses.","351
ventas en los últimos 4 meses.",,"351
ventas en los últimos 4 meses.","351
ventas en los últimos 4 meses.",9 opiniones,4,¿Qué quieres saber?,"Rafael Uribe Uribe, Bogotá D.C.",92%,"Marca
Desierto
Modelo
Sinaí","Género Hombre
Tipo de calzado Botas
Estilo Bota Militar
Tipo de caña Alta
Año de lanzamiento 2016","Botas tipo jungla elaborada en gamuza 1A, lona impermeable de alta durabilidad, suela en caucho resistente y antideslizante, vulcanizadas y cosidas, caña de 23 cm y plantilla semi ortopédica

Color beis"
41,Botas Lona Cuero Impermeable Senderismo Motociclismo Dama,119.900,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
Seleccione una opción
Guía de tallas
Al 88% le calzó como esperaba","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(34 disponibles),Hay stock disponible,,"233
ventas en los últimos 4 meses.","233
ventas en los últimos 4 meses.",,"233
ventas en los últimos 4 meses.","233
ventas en los últimos 4 meses.",25 opiniones,4,¿Qué quieres saber?,"Armenia, Quindio",88%,"Marca
Bumerang
Modelo
929",Género Mujer,"Bota en Cuero y Lona de alta especificación técnica, manufactura nacional. Con repelencia al agua deal para deportes de exteriores y uso casual. Destaca por ser demasiado livianas

• Capellada en Lona Impermeable.
• Color: Negro - Cafe - Verde
• Manufactura Colombiana.
• Suela PVC antideslizante.
• Totalmente nuevamente y garantizadas.
• Usos: Alpinismo, Senderismo, Caminata, Excursiones o Uso formal o informal.

Antes de comprar preguntarnos por la disponibilidad en tu talla.
100% Sataisfacción Garantizada. Cambio de talla Gratis en caso de necesitarla."
