,descrip,price,envio,ciudad,otro1,otro2,benef,disponibles,stock,official,ventas,infoVentas,atencion,entrega,ventas,nopiniones,calificacion,vendedor,ubicacion,reviews,marca,modelo,descripcionExt
253,Botas Cuero Nobuck Calzado Hombre Deporte - Miel,119.900,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
Seleccione una opción
Guía de tallas","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(23 disponibles),Hay stock disponible,,"225
ventas en los últimos 4 meses.","225
ventas en los últimos 4 meses.",,"225
ventas en los últimos 4 meses.","225
ventas en los últimos 4 meses.",1 opinión,5,¿Qué quieres saber?,"Armenia, Quindio",,"Marca
Boomerang
Modelo
910",Género Mujer,"Bota en Cuero Nobuck de alta especificacion tecnica, manufactura nacional, ideal para deportes y uso casual.

• 100% Cuero Nobuck
• Suela en Caucho antideslizante.
• Manufactura Colombiana.
• Recomendada para Senderismo, Caminatas, Alpinismo, Montañismo, Trekking y actividades de máxima exigencia. También para uso formal.
Sku 883 Nobuck Cigarra - 883 Nobuck Oro - 883 Nobuck Testa

Antes de la compra preguntar por disponibilidad de talla.

El Cambio de este producto es totalmente Gratis siempre te prestamos la mejor colaboración y compañía hasta obtener tu producto."
254,Botín Danna,150.000,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,"talla: 34,35,36,37,38,39","talla: 34,35,36,37,38,39","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(7 disponibles),Hay stock disponible,,"20
ventas en el último año.","20
ventas en el último año.",,"20
ventas en el último año.","20
ventas en el último año.",,,¿Qué quieres saber?,"Antonio Nariño, Bogotá D.C.",,"Género
Mujer",,Tenemos Todos los tonos de las fotos desde la 34 a la 39 alt de 7 cms lo que lo hace supercomodo.... Hechas en microfibra no se pela ni descoloriza se limpian con vanish color y un cepillo limpio... Todas las tallas
255,Oboz Sawtooth Ii Mid Bdry Botas De Senderismo Para Hombre,811.990,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,,,"Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(12 disponibles),Hay stock disponible,,"2175
ventas en los últimos 4 meses.","2175
ventas en los últimos 4 meses.",,"2175
ventas en los últimos 4 meses.","2175
ventas en los últimos 4 meses.",,,¿Qué quieres saber?,"Teusaquillo, Bogotá D.C.",,"Marca
Oboz
Color
Dark Shadow/Woodbine Green
Talla
10 D(M) US",Género Hombre,"SOMOS GLOBALBOX COLOMBIA, TU IMPORTADORA DE CONFIANZA

«« IMPORTANTE LEER »»

•TIEMPO DE ENTREGA 8 DÍAS HÁBILES A TODA COLOMBIA
•PRODUCTO IMPORTADO DESDE ESTADOS UNIDOS
•PRODUCTO NUEVO, ORIGINAL Y GARANTIZADO
•ENVÍO GRATIS A TODA COLOMBIA
___________________________________


--TITULO--
Oboz sawtooth ii mid bdry botas de senderismo para hombre

--TITULO EN INGLES--
Oboz Sawtooth II Mid BDry Botas de senderismo para hombre

---DESCRIPCIÓN CORTA---
* cuero impermeable y textil altamente resistente a la abrasión
* oboz bdry membrana impermeable transpirable
* talonera moldeada 3d
* eva de doble densidad
* mango de nailon



Color: Dark Shadow/Woodbine Green

Talla: 10 D(M) US

Marca: Oboz


Fabricante: Oboz

----------------------

* Productos, stock y tiempos de entrega sujetos a cambios
* Envío Internacional
Para confirmar cambios de tallas, o errores de referencias, contáctate con nosotros entre las 24 horas siguientes, después de generar la orden. En caso de no realizar este proceso, enviaremos la referencia de la publicación."
256,Botas Ugg Australia Mujer Originales Invierno Boton Peluche,250.000,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,talla: 37,"talla: 37
Guía de tallas","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(2 disponibles),Hay stock disponible,,"70
ventas en los últimos 4 meses.","70
ventas en los últimos 4 meses.",,"70
ventas en los últimos 4 meses.","70
ventas en los últimos 4 meses.",2 opiniones,5,¿Qué quieres saber?,"Puente Aranda, Bogotá D.C.",,"Marca
UGG",Género Mujer,"PREGUNTA POR DISPONIBILIDAD DE TALLA Y COLOR ANTES DE COMPRAR!!!

Botas ugg originales
Con tecnología waterproof, resistentes al agua y forradas internamente en peluche. Suela especialmente diseñada para la nieve y superficies difíciles, antideslizantes.

Tallas: -7-

Color BEIGE


*****INFORMACIÓN IMPORTANTE – FAVOR LEER HASTA EL FINAL*****

**ÓRDENES:**
- A través de esta plataforma, sólo puedes adquirir un artículo por orden y están disponibles únicamente las tallas que aquí aparecen.

**LOGÍSTICA:**
- Nuestro tiempo de entrega es de 2 a 3 días hábiles para Bogotá, de 3 a 5 días hábiles para ciudades capitales y principales y de 5 a 7 días hábiles para ciudades remotas.
- Los envíos los realizamos a través de Servientrega.


**CAMBIOS O DEVOLUCIONES:**
- Para cambios o devoluciones, nos acogemos a las políticas de Mercado Libre. Complex Store no cubrirá los gastos de envío para cambios o devoluciones.
- Productos, stock y tiempos de entrega sujetos a cambios.
- Para cualquier ajuste a la orden, tales como cambios de talla o de referencia, contáctate con nosotros dentro de las 24 horas siguientes a la realización del pedido. En caso de no comunicarte dentro de este tiempo, Complex Store enviará la referencia solicitada inicialmente.

**GARANTÍA:**
- Ofrecemos una garantía de 60 días; esta cubre daños por defectos del material o errores en la fabricación (exceptuando prendas que, como especificado en su descripción, puedan presentar algún imperfecto menor de fábrica). NO cubre mala manipulación por parte del usuario.

**RETRACTO:**
- En caso de que ya no desees el producto recibido, puedes realizar la devolución del mismo en un periodo no mayor a 5 días, a partir de su entrega. Para ello, deberás asumir el costo del retorno a la dirección que se te indicará."
257,Botas Militar Oakley Light Desert 100% Original Envió Gratis,752.700,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
Seleccione una opción","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(12 disponibles),Hay stock disponible,,"1192
ventas en los últimos 4 meses.","1192
ventas en los últimos 4 meses.",,"1192
ventas en los últimos 4 meses.","1192
ventas en los últimos 4 meses.",,,¿Qué quieres saber?,"Medellín, Antioquia",,"Género
Hombre",,"***************************** TIEMPO DE ENTREGA: ****************************
************* 4 A 8 DÍAS HÁBILES A CIUDADES PRINCIPALES *************
PRODUCTO IMPORTADO DESDE U.S.A - 100% ORIGINALES.

TITULO:
Botas Militares OAKLEY LIGHT ASSAULT 2 Tácticas para Hombre




DESCRIPCIÓN

El Light Assault Boot está diseñado pensando en la movilidad y la protección. Una entresuela y una suela de EVA se mueven de forma natural con el pie al tiempo que proporcionan una absorción de impactos de felpa, y una parte superior sintética transpirable y ligera de Cordura® que ofrece una comodidad duradera y ventilada.
Terminado con cordones de nylon resistente que soportan el desgaste áspero, este botín de asalto táctico está diseñado para asumir cualquier aventura.

Sistema de bloqueo de encaje mantiene los cordones en su lugar8"" Altura
Peso: 14 oz (basado en la talla 9)
Compatible con AR670-1

Recuerda que todos nuestros productos son importados directamente desde los Estados Unidos y este toma un tiempo de 4-8 DÍAS HÁBILES, en la mayoría de los casos llegamos en los primeros 6 días, (Puede variar según la ciudad final de destino).


ENVIO GRATIS A TODA COLOMBIA

TODOS NUESTROS PRODUCTOS SON NUEVOS Y 100% ORIGINALES.

NOTA: CONFIRMAR TALLA

***************************** TIEMPO DE ENTREGA: ****************************
************* 4 A 8 DÍAS HÁBILES A CIUDADES PRINCIPALES *************
PRODUCTO IMPORTADO DESDE U.S.A - 100% ORIGINALES."
258,Bota Militar Original Swat Force Coyote 155203 Armada,339.900,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
Seleccione una opción","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(224 disponibles),Hay stock disponible,,"161
ventas en los últimos 4 meses.","161
ventas en los últimos 4 meses.",,"161
ventas en los últimos 4 meses.","161
ventas en los últimos 4 meses.",1 opinión,5,¿Qué quieres saber?,"Medellín, Antioquia",,"Marca
Original S.W.A.T.
Modelo
155203",Género Hombre,"BOTA MILITAR ORIGINAL SWAT FORCE 155203 COYOTE ARMADA
Entrega inmediata dos días hábiles a ciudades principales. Un poco más a otras poblaciones.
ORIGINALES - LAS ENTREGAMOS EN CAJA - CON FACTURA OFICIAL Y DECLARACIÓN DE IMPORTACIÓN ""DIAN"".
Quieres sentir la comodidad de un tenis deportivo, pero con la apariencia de una bota táctica militar?
Para aquellos profesionales uniformados que buscan la mejor bota de trabajo, la ORIGINAL SWAT FORCE 1552 “Side-Zip” es para ellos.
Construida sobre nuestra última plataforma de suela antideslizante y equipada con excelentes características para un garantizar un alto rendimiento.
Viene una cremallera lateral marca YKK, para que quitarse y ponerse la bota sea un proceso fácil logrando un excelente ajuste.
Con esta bota siempre te verás bien y con mucho estilo en cualquier momento de tu jornada de trabajo.
La bota es fabricada en cuero liso perfecto para lustrar y embetunar y en nylon de alta resistencia de 1000 denier.
Cremallera lateral YKK® con un cierre de seguridad con velcro, para evitar que la cremallera se baje y se abra accidentalmente.
Cuello superior de la caña acolchado de espuma, para mayor comodidad.
La tela que hace de forro cubriendo internamente la bota, absorbe la humedad y viene con protección antimicrobiana AEGIS.
Los ojaletes de los cordones están fabricados en una aleación de latón durable, resistentes a la oxidación.
Plantilla interior fabricada en EVA de ajuste personalizado y extraíble, permite retirarla para limpiarla.
Plataforma de estabilidad hecha en Texon, que brinda un excelente soporte lateral y una máxima rigidez torsional.
Soporte interno de la plantilla fabricado en acero para un soporte superior
Los protectores internos del talón y de los dedos, son dos piezas termoplásticas moldeadas a medida y ambas brindan una comodidad instantánea y un buen soporte lateral. No son botas de seguridad, tampoco tienen puntera de seguridad.
La placa externa protectora del talón está fabricada en Poliuretano resistente a la abrasión, esto para una mayor durabilidad.
Posee zonas de absorción de impacto fabricadas en EVA, para el talón y la planta del pie, esto para garantizar para mayor comodidad.
La suela de es de goma de caucho antideslizante, cumple con la norma ASTM F2913-11."
259,Bota Militar Arena Y Negra,110.000,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
Seleccione una opción","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(84 disponibles),Hay stock disponible,,"149
ventas en los últimos 5 años.","149
ventas en los últimos 5 años.",,"149
ventas en los últimos 5 años.","149
ventas en los últimos 5 años.",1 opinión,5,¿Qué quieres saber?,"Kennedy, Bogotá D.C.",,"Género
Hombre",,"POR FAVOR CONSULTE LA TALLA Y COLOR QUE DESEA ANTES DE DAR CLIC EN COMPRAR *

BOTAS TIPO MILITAR EN CARNAZA, CON SUELA EN CAUCHO, MUY CÓMODAS Y RESISTENTES, EN COLOR ARENA.

SOMOS FABRICANTES, BOTAS NACIONALES 100% CALIDAD Y ORIGINALIDAD


POR FAVOR CONSULTA PRIMERO EN LA SECCIÓN DE PREGUNTAS LA TALLA Y EL COLOR QUE DESEAS PARA CONFIRMARTE DISPONIBILIDAD

FORMAS DE PAGO Y ENVÍO:

EL ENVÍO ES GRATIS POR MERCADO ENVÍOS SERVIENTREGA, Y PUEDES PAGAR A TRAVÉS DE MERCADO PAGO YA SEA CON LA OPCIÓN DE EFECTY (EN EFECTIVO), TARJETA DE CRÉDITO (A CUOTAS), TARJETA DE DÉBITO (PSE).

TE OFRECEMOS PRODUCTOS DE CALIDAD.

POR FAVOR PREGUNTA LA TALLA QUE DESEAS ANTES DE HACER CLIC EN COMPRAR, Y LO QUE DESEES PARA ACLARAR TUS DUDAS."
260,Botas Sollu Overland Oleo,254.900,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
38
39
40
41
42
43","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(4 disponibles),Hay stock disponible,,"2219
ventas en los últimos 4 meses.","2219
ventas en los últimos 4 meses.",,"2219
ventas en los últimos 4 meses.","2219
ventas en los últimos 4 meses.",1 opinión,5,¿Qué quieres saber?,"Cota, Cundinamarca",,"Marca
Sollu
Modelo
34291",Género Hombre,"• Bota elaborada en Cuero Legitimo Oleo siendo de textura lisa sin sacrificar flexibilidad ya que su confección y elaboración hace que sea un calzado ultra cómodo
• Posee collarín acolchado al igual que la lengüeta mejorando el confort
• Cuenta con cierre en cremallera lateral y cordones en cuero y ojales metálicos en la parte del empeine para un ajuste personalizado
• Posee costuras reforzadas aumentando la durabilidad
• La entresuela está elaborada en PU con tecnología de Memoria Activa, y Puntos Masajeadores.
• La suela está elaborada en Caucho resistente a diversas superficies
• Ocasión / Estilo: Casual / Social"
261,Bota Hombre Waterproof Kumbre 2680,264.900,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
8
9
10
8M","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(6 disponibles),Hay stock disponible,,"270
ventas en los últimos 4 meses.","270
ventas en los últimos 4 meses.",,"270
ventas en los últimos 4 meses.","270
ventas en los últimos 4 meses.",,,¿Qué quieres saber?,"Medellín, Antioquia",,"Marca
KUMBRE
Modelo
HS88026",Género Hombre,
262,Botas De Seguridad Caterpillar Puntera Dielectrica,189.900,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
Seleccione una opción
Al 94% le calzó como esperaba","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(528 disponibles),Hay stock disponible,,"365
ventas en los últimos 4 meses.","365
ventas en los últimos 4 meses.",,"365
ventas en los últimos 4 meses.","365
ventas en los últimos 4 meses.",10 opiniones,5,¿Qué quieres saber?,"Bogota, Bogotá D.C.",94%,"Marca
Caterpillar
Modelo
133-3",Género Hombre,"««««««««««««««•IMPORTANTE LEER TODO•»»»»»»»»»»»»»»»»»»»»

••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••
••••••••••••• TIEMPOS DE ENTREGA •••••••••••••••••••••••••
••••••••••••••••• DE 24 A 48 HORAS ••••••••••••••••••••••••••
•••••••• HÁBILES A CIUDADES PRINCIPALES ••••••••••••••
•••••• CONSULTAR DISPONIBILIDAD DE TALLA •••••••••••
••••••••••• ANTES DE REALIZAR LA COMPRA ••••••••••••••
•••• PARA LAS COMPRAS SIN CONSULTAR TALLA ••••••
••••••• EL TIEMPO DE ENTREGA PUEDE VARIAR •••••••••
•• DE ACUERDO A DISPONIBILIDAD DE INVENTARIO ••
••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••

ESPECIFICACIONES
Botas Caterpillar Con Puntera Dielectrica Resistente a Hidrocarburos tipo A y B Importadas 3A
Calzado Fabricado en Cuero Nobuck
Somos distribuidores Mayoristas
Tallas disponibles desde la 38 a la 44 - Tallas Nacional
En las imagenes puede encontrar la tabla de conversion para asegurarse que talla necesita

• preguntas frecuentes

1-¿Cuanto vale el envio??
el costo de el envio esta incluido al efectuar el pago.

2-¿En cuanto tiempo me llega mi pedido??
el tiempo de entregas a ciudades principales es de 24 a 48 horas hábiles, a poblaciones lejanas o trayectos especiales estas entre 3 y 8 días dependiendo del destino.

3-¿Dónde recibo el producto?
en tu domicilio, sin importar en qué lugar del país estés, si esta cubierto por mercado envios

4-¿Puedo hacer Cambio de Talla?
Claro que si, siempre y cuando este disponible la nueva talla, en caso de no estar disponible puede que sea necesario esperar un par de dias mientras queda de nuevo disponible y los cargos de los nuevos envios los pagamos por mitad

5-¿Como comprar con mercado envió??
cuando le des comprar el sistema te pedirá tus datos de dónde quieres recibir el paquete los debes deponer muy bien porque solo te llagara a los datos que dejes en el momento de la compra después de la compra el sistema no deja cambiar los datos también lo puedes recibir en oficina principal de tu ciudad si así lo elijes..
al finalizar la compra puedes escoger la opción de pago mas cómoda para ti puedes hacerlo por tarjeta de crédito, pse o giro efecty, si es por efecty el sistema te dará un código con el que puedes cancelar en cualquier efecty sin generar un costo adicional

6-¿Se puede pagar contraentrega?
El Producto solo se puede comprar por mercado pago


Si tienes alguna duda sobre tu compra con gusto te resolveremos todas tus inquitudes en la secion de preguntas recuerda que solo le debes de dar comprar cuando estes 100% seguro sin duda alguna.

«=========================================================»

¿TIENEN ALGUNA GARANTÍA?
garantía por 2 meses

«=========================================================»"
263,Botas Montaña Caterpillar Hombre,129.900,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
38
39
40
41
42
Guía de tallas","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(7 disponibles),Hay stock disponible,,"60
ventas en los últimos 5 años.","60
ventas en los últimos 5 años.",,"60
ventas en los últimos 5 años.","60
ventas en los últimos 5 años.",,,¿Qué quieres saber?,"Cali, Valle Del Cauca",,"Marca
CAT
Modelo
Montaña",Género Hombre,"Calzado Botas en Cuero Caterpillar 100% Nacional Garantizado.

Tallas desde la 38 hasta la 42 en numeración Colombiana.

Envíos a Nivel nacional."
264,Bota Militar Masherland® Tactical Ml17 Cuero,250.000,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
Seleccione una opción
Guía de tallas","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(230 disponibles),Hay stock disponible,Tienda oficial de Mercado Libre,,,,,,2 opiniones,5,¿Qué quieres saber?,,,"Marca
Masherland®
Modelo
Tactical ML17",Género Hombre,"* * * * *BOTA MASHERLAND* * * * *

Botas Tactical, 100% en cuero traspasado de alto calibre, clises en termo fibra plástica, suela antideslizante en caucho de alta resistencia, altura de caña de 22 cm aproximadamente según la talla, cremallera lateral y talón reforzado.

Nuestra Misión fue desarrollar un producto que combinara la dureza, resistencia y durabilidad de unas zapatillas de alto performance, Construimos unas botas listas para entregarlo todo en tierra y asfalto, Capellada en Lona resistente que repele el agua, Apliques y cordoneras inyectadas en TPU y suela antideslizante en caucho de alto agarre, Plantilla interior en EVA y forro liycra para una increíble experiencia y confort.


Soporte interno de la plantilla fabricado en acero para un soporte superior
Los protectores internos del talón y de los dedos, son dos piezas termoplásticas moldeadas a medida y ambas brindan una comodidad instantánea y un buen soporte lateral. No son botas de seguridad, tampoco tienen puntera de seguridad.

Con esta bota siempre te verás bien y con mucho estilo en cualquier momento de tu jornada de trabajo.

Botas para Militares, Botas para Policias, Botas para Guardias de Seguridad entre otros.
Botas Outdoor."
265,Espectaculares Botas Deportivas En Cuero Para Hombre Cuero,105.000,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
37
38
39
40
41
42
Guía de tallas
Al 92% le calzó como esperaba","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(8 disponibles),,,"225
ventas en los últimos 4 meses.","225
ventas en los últimos 4 meses.",,"225
ventas en los últimos 4 meses.","225
ventas en los últimos 4 meses.",86 opiniones,4,¿Qué quieres saber?,"Rafael Uribe Uribe, Bogotá D.C.",92%,"Género
Hombre",,"Espectaculares botas deportivas en cuero para hombre, con suela tipo caterpillar en caucho, muy cómodas y resistentes, en colores marrón claro, marrón, negro.

Somos fabricantes, botas nacionales 100% calidad y originalidad.

Tallas 37-38-39-40-41-42, pero por favor consulta primero en la sección de preguntas cualquier duda que tengas.

Ventas al detal y al mayor

Formas de pago y envío:

El envío es gratis por mercado envíos, y puedes pagar a través de mercado pago ya sea con la opción de efecty (en efectivo), tarjeta de crédito (a cuotas), tarjeta de débito (pse).

Te ofrecemos productos de calidad."
266,Súper Promoción Zapato Hombre Botín Botines Cuero 100%,121.990,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
Seleccione una opción","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(40 disponibles),Hay stock disponible,,"197
ventas en los últimos 4 meses.","197
ventas en los últimos 4 meses.",,"197
ventas en los últimos 4 meses.","197
ventas en los últimos 4 meses.",1 opinión,5,¿Qué quieres saber?,"Usme, Bogotá D.C.",,"Marca
Paticueros
Modelo
JP07",Género Hombre,"Mercado libre da una estimación en días para el envío, pero confirmamos que para Bogotá enviamos el producto en un día hábil y para otras ciudades de Colombia por mucho en dos días hábiles.

Si estas en un computador o portátil al lado de las imágenes del producto podrás ver un video con su revisado a fondo. Te presentamos el mejor par de botines en cuero liso de excelente calidad, en color miel que algunos lo llaman café o tabaco y con suela de caucho anti deslizante. Estos botines para hombre están elaborados por manos colombianas así que con tu posible compra estarás apoyando a los zapateros del país.

Los tenemos disponibles desde la talla 36 hasta el 43 para entrega inmediata. De pronto puedes considerar que tienen un precio alto pero ten en cuenta que su construcción exterior es 100% cuero de la mejor calidad, que si los comparas con otros modelos en el mercado te darás de cuenta que esos son en plástico o sintético que sancochan los pies y en cambio los que te vendemos son en cuero cálido que mantiene el pie fresco todo el tiempo.

Si haces la compra estas invirtiendo tu dinero en un buen par de zapatos que seguramente estarán durando más de 1 año con uso continuo. El envío para Bogotá se demora un día hábil y para otras ciudades por mucho tres días hábiles. ¡Gracias por tu posible compra!"
267,Botas Impermeable Dakar Pvc Moto Motociclista Suela Verde,35.000,Envío a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
38
42","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(4 disponibles),Hay stock disponible,,"235
ventas en los últimos 4 meses.","235
ventas en los últimos 4 meses.",,"235
ventas en los últimos 4 meses.","235
ventas en los últimos 4 meses.",3 opiniones,5,¿Qué quieres saber?,"Martires, Bogotá D.C.",,"Modelo
Dakar",Género Hombre,"¡EL PRECIO NO CUBRE GASTO DE ENVÍO!
Botas Dakar Impermeables Negras suela verde
Tallas: 37-42
Las botas de caucho Dakar son la mejor opción ante la lluvia, las mismas son fabricadas en PVC y garantiza Impermeabilidad en sus pies mientras las utiliza. Poseen un diseño adecuado para motociclistas y lo mejor... ¡Un precio asequible!
---
PAGOS
Puede cancelar a través de mercado pago o en cualquiera de nuestras tiendas con efectivo, tarjeta de débito/crédito, codensa o pagar en cuotas a través de sistecrédito o Esmio (el solicitante no debe estar reportado) cumpliendo los requisitos obligatorios.
---
ENVÍOS
Envíamos por encomienda a nivel nacional con Servientrega
Bogotá, Medellín, Cali, Barranquilla, Cartagena, Cúcuta, Soledad, Ibagué, Bucaramanga, Soacha y otras ciudades.
---
TIENDAS
Contamos con puntos de ventas en el centro de Bogotá, en el C.C. Gran Plaza de Soacha y en Villavicencio.
---
HORARIOS
Lunes a Sábado de 8:00 am a 7:00 pm.
Domingo y festivo de 10:00am. a 4:00pm.
---
Realice las preguntas que sean necesarias para que aclare sus dudas y pueda ofertar de forma segura.
---
Pregunte disponibilidad del producto ya que vendemos por otros medios online y en tienda física.
---
Recuerde que en cascoloco.com estamos para servirle."
268,Botas Dotación Punta Composite Dialéctico Calzado Café Norma,75.000,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
39
40
41
42
43
45","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(17 disponibles),Hay stock disponible,,"319
ventas en los últimos 4 meses.","319
ventas en los últimos 4 meses.",,"319
ventas en los últimos 4 meses.","319
ventas en los últimos 4 meses.",,,¿Qué quieres saber?,"Usaquén, Bogotá D.C.",,"Marca
personalizada
Modelo
529C",Género Hombre,"Bota de dotación para hombre y mujer,
cumple con toda la norma
color café y negro (por pedido o requerimiento del cliente)
marcación de bota en el talón de hechura de la dotación (incluido)
se pueden personalizar con el logo de la empresa , preguntar eso mínimos. y mas arte

material : cuero
punta composite, resistente
suela anti fluido
refuerzo en la punta y talón.
excelente calidad
6 mese de garantía de defectos de fabricación.
ficha técnica y cumple con la norma existente.
hagan su pedido al por mayor.
envio a todo el pais.
fotos reales.
Iva incluido. y envio gratis."
269,Timberland Dama Original 4111 Promocion!,234.900,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
7
7M","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(2 disponibles),Hay stock disponible,,"270
ventas en los últimos 4 meses.","270
ventas en los últimos 4 meses.",,"270
ventas en los últimos 4 meses.","270
ventas en los últimos 4 meses.",,,¿Qué quieres saber?,"Medellín, Antioquia",,"Marca
Timberland
Modelo
REF.A1GOX",Género Mujer,ORIGINAL BOTA REBAJADA ANTES 365000
270,"Botas Nacionales, Nival Elegant Riviera Miel",120.000,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
Seleccione una opción","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(24 disponibles),Hay stock disponible,,"220
ventas en los últimos 4 meses.","220
ventas en los últimos 4 meses.",,"220
ventas en los últimos 4 meses.","220
ventas en los últimos 4 meses.",3 opiniones,5,¿Qué quieres saber?,"Teusaquillo, Bogotá D.C.",,"Género
Hombre",,"Botas con envejecido riviera, el mejor cuero que se maneja, Somos fabricantes nacionales , con garantía de 2 meses entregas a todo el país, cocidas y galvanizadas.Botas para dama y caballero las de la foto son dama pero en este mismo material viene en horma para hombre.

Ingresa a nuestro Eshop de todas nuestras publicaciones: https://eshops.mercadolibre.com.co/BOTASROLAS*NIVAL"
271,Bota Masherland® Terra Outdoor X2 Cafe,230.000,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
Seleccione una opción
Guía de tallas","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(195 disponibles),Hay stock disponible,Tienda oficial de Mercado Libre,,,,,,3 opiniones,5,¿Qué quieres saber?,,,"Marca
Masherland®
Modelo
Terra™ OutDoor X2",Género Hombre,"* * * * *BOTA MASHERLAND* * * * *

Botas Terra x2 Caña media de 16 cm aproximadamente según talla, 100% en cuero traspasado de alto calibre, suela en caucho de alta resistencia y con puntera en caucho, Plantilla semi ortopédica de alta densidad y interior anti hongos.

Soporte interno de la plantilla fabricado en acero para un soporte superior
Los protectores internos del talón y de los dedos, son dos piezas termoplásticas moldeadas a medida y ambas brindan una comodidad instantánea y un buen soporte lateral. No son botas de seguridad, tampoco tienen puntera de seguridad.

Con esta bota siempre te verás bien y con mucho estilo en cualquier momento de tu jornada de trabajo.

DISEÑADAS PARA: Montaña y Trekking, casual."
272,Bota De Caucho Para La Industria Alimentaria Color Blanco,35.900,Envío a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
Seleccione una opción","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(32 disponibles),Hay stock disponible,,"333
ventas en los últimos 4 meses.","333
ventas en los últimos 4 meses.",,"333
ventas en los últimos 4 meses.","333
ventas en los últimos 4 meses.",,,¿Qué quieres saber?,"Santa Fe, Bogotá D.C.",,"Género
Hombre",,Bota caña alta color blanco resistente ácidos grasos
